STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
         44;20200328;-999;-999;-999;    3;   0.0;   0;   10.783;   0;  -999;   6.2;    -999;    6.4;   65.38;   12.2;    1.0;   -2.8;eor
         44;20200329;-999;-999;-999;    3;   0.2;   4;    3.267;   0;  -999;   4.5;    -999;    2.9;   59.88;    6.6;   -4.3;   -7.1;eor
         44;20200330;-999;-999;-999;    3;   4.4;   4;    2.283;   0;  -999;   5.8;    -999;    2.2;   78.83;    7.7;   -4.9;   -7.5;eor
         44;20200331;-999;-999;-999;    3;   0.0;   0;   11.233;   0;  -999;   4.6;    -999;    2.4;   64.54;    9.0;   -3.3;   -6.0;eor
         44;20200401;-999;-999;-999;    3;   0.0;   0;    1.333;   0;  -999;   5.9;    -999;    3.7;   72.33;    8.6;   -3.5;   -5.3;eor
         44;20200402;-999;-999;-999;    3;   1.4;   4;    3.433;   0;  -999;   6.9;    -999;    7.2;   69.00;   10.7;    3.8;    1.8;eor
         44;20200403;-999;-999;-999;    3;   0.0;   0;    3.017;   0;  -999;   6.3;    -999;    6.1;   68.04;    9.1;    0.7;   -2.7;eor
         44;20200404;-999;-999;-999;    3;   0.0;   0;    9.000;   0;  -999;   6.3;    -999;    7.1;   65.13;   14.2;   -0.1;   -3.1;eor
         44;20200405;-999;-999;-999;    3;   0.0;   0;   12.133;   0;  -999;   6.4;    -999;   11.1;   50.96;   19.1;    2.5;   -2.0;eor
         44;20200406;-999;-999;-999;    3;   0.0;   0;   12.250;   0;  -999;   7.5;    -999;   14.5;   48.38;   24.1;    5.0;   -0.5;eor
         44;20200407;-999;-999;-999;    3;   0.0;   0;   10.550;   0;  -999;   9.3;    -999;   12.7;   65.96;   18.7;    7.0;    3.4;eor
         44;20200408;-999;-999;-999;    3;   0.0;   0;   10.233;   0;  -999;   9.3;    -999;   14.7;   56.21;   24.0;    7.2;    4.3;eor
         44;20200409;-999;-999;-999;    3;   0.0;   0;   11.067;   0;  -999;   8.5;    -999;   10.6;   69.83;   19.3;    3.4;   -0.5;eor
         44;20200410;-999;-999;-999;    3;   0.0;   0;   12.450;   0;  -999;   6.8;    -999;    7.1;   71.38;   14.7;    1.4;   -4.0;eor
         44;20200411;-999;-999;-999;    3;   0.0;   0;   12.300;   0;  -999;   6.8;    -999;    9.7;   62.58;   19.2;   -0.1;   -3.1;eor
         44;20200412;-999;-999;-999;    3;   0.0;   0;    8.383;   0;  -999;   8.3;    -999;   13.7;   56.08;   23.5;    2.6;   -1.1;eor
         44;20200413;-999;-999;-999;    3;   0.2;   4;    4.983;   0;  -999;   5.7;    -999;    6.9;   57.79;   10.8;    3.1;    1.5;eor
         44;20200414;-999;-999;-999;    3;   0.0;   0;    4.067;   0;  -999;   5.9;    -999;    5.6;   65.75;   10.9;    1.1;   -1.9;eor
         44;20200415;-999;-999;-999;    3;   0.0;   0;   12.100;   0;  -999;   6.6;    -999;    9.0;   60.88;   17.8;    1.8;   -1.1;eor
         44;20200416;-999;-999;-999;    3;   0.0;   0;   12.750;   0;  -999;   7.7;    -999;    9.4;   67.83;   18.0;    0.6;   -2.0;eor
         44;20200417;-999;-999;-999;    3;   0.0;   0;   12.433;   0;  -999;   7.3;    -999;    8.1;   70.71;   15.2;    1.1;   -2.5;eor
         44;20200418;-999;-999;-999;    3;   0.0;   0;   12.717;   0;  -999;   6.8;    -999;   11.4;   55.13;   19.9;    2.8;   -1.1;eor
         44;20200419;-999;-999;-999;    3;   0.0;   0;   13.233;   0;  -999;   4.8;    -999;   10.1;   40.79;   16.7;    3.7;    0.9;eor
         44;20200420;-999;-999;-999;    3;   0.0;   0;   13.333;   0;  -999;   5.5;    -999;   10.9;   43.17;   17.4;    2.6;   -0.4;eor
         44;20200421;-999;-999;-999;    3;   0.0;   0;   13.367;   0;  -999;   6.1;    -999;   12.5;   42.96;   18.7;    6.1;    3.7;eor
         44;20200422;-999;-999;-999;    3;   0.0;   0;   13.400;   0;  -999;   6.6;    -999;   13.8;   44.08;   20.6;    6.5;    3.7;eor
         44;20200423;-999;-999;-999;    3;   0.0;   0;   12.417;   0;  -999;   7.5;    -999;   14.0;   50.50;   22.0;    4.9;   -0.6;eor
         44;20200424;-999;-999;-999;    3;   0.0;   0;   10.583;   0;  -999;   8.1;    -999;   12.0;   60.79;   19.2;    7.4;    5.1;eor
         44;20200425;-999;-999;-999;    3;   0.0;   0;    6.117;   0;  -999;   8.0;    -999;   10.4;   65.33;   16.9;    3.7;    1.0;eor
         44;20200426;-999;-999;-999;    3;   0.0;   0;    8.750;   0;  -999;   7.5;    -999;    8.5;   70.54;   16.3;    0.8;   -1.9;eor
         44;20200427;-999;-999;-999;    3;   0.0;   0;   12.217;   0;  -999;   7.6;    -999;   12.9;   57.50;   21.3;    1.2;   -1.7;eor
         44;20200428;-999;-999;-999;    3;   1.9;   4;    4.250;   0;  -999;   9.5;    -999;   11.4;   72.38;   16.8;    7.9;    5.1;eor
         44;20200429;-999;-999;-999;    3;   8.1;   4;    1.750;   0;  -999;  11.4;    -999;   10.7;   88.96;   15.8;    7.8;    5.7;eor
         44;20200430;-999;-999;-999;    3;   0.2;   4;    4.467;   0;  -999;  10.2;    -999;   12.2;   73.42;   16.5;    9.3;    7.4;eor
         44;20200501;-999;-999;-999;    3;   3.6;   4;    2.767;-999;  -999;   9.5;    -999;    9.7;   79.63;   13.9;    7.1;    5.7;eor
         44;20200502;-999;-999;-999;    3;   0.3;   4;    3.650;-999;  -999;   9.6;    -999;    9.6;   81.50;   13.4;    6.9;    3.6;eor
         44;20200503;-999;-999;-999;    3;   0.0;   0;    2.383;-999;  -999;   9.7;    -999;   10.4;   78.00;   15.5;    6.7;    5.0;eor
