tenant,policyId,num_id,level,policyClass,exposed,pathNode,inheritPath,inheritedFrom,duplicatesYN,resourceClass,resourceType,activity,name,connectionId,canStopForUser,technicalName
default,Rules_Dashboard,1,1,metadata,True,,,,N,metadata,app.datahub-app-data.qualityDashboard,manage,,,,
default,app.datahub-app-core.connectionCredentialsUnmasked,2,1,metadata,True,,,,N,metadata,app.datahub-app-core.connectionCredentials,showUnmasked,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,,,N,metadata,app.datahub-app-data.profile,execute,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,,,N,metadata,app.datahub-app-data.qualityRulebook,execute,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,,,N,metadata,app.datahub-app-data.system,admin,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,pipeline-modeler,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-dex,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-connection,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-preparation,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-metadata,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,data-hub-flow-agent,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,N,metadata,app.datahub-app-data.catalog,read,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,N,metadata,app.datahub-app-data.glossary,read,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,N,metadata,app.datahub-app-data.profile,read,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,N,metadata,app.datahub-app-data.tagHierarchy,read,,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies:app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,Y,application,application,start,pipeline-modeler,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies:app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,Y,application,application,start,datahub-app-dex,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies:app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,Y,application,application,start,datahub-app-connection,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies:app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,Y,application,application,start,datahub-app-preparation,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies:app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,Y,application,application,start,datahub-app-metadata,,,
default,app.datahub-app-data.administrator,3,3,multiple,True,Y,app.datahub-app-data.dependencies:app.datahub-app-data.metadataUser,app.datahub-app-data.metadataUser,Y,application,application,start,data-hub-flow-agent,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,,,N,metadata,app.datahub-app-data.catalog,annotate,,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,,,N,metadata,app.datahub-app-data.qualityDashboard,read,,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,pipeline-modeler,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-dex,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-connection,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-preparation,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,datahub-app-metadata,,,
default,app.datahub-app-data.businessUser,4,3,multiple,True,Y,app.datahub-app-data.dependencies,app.datahub-app-data.dependencies,Y,application,application,start,data-hub-flow-agent,,,
