id,tenant,user,description,createdManual,createdByMapping
34d54dcc_e672_48bb_93f0_72fd05c077a2_conn_config,pm-dev1,admin,Write access to all connection configurations bound to tenant pm-dev1,True,False
34d54dcc_e672_48bb_93f0_72fd05c077a2_conn_config,pm-dev1,axels,Write access to all connection configurations bound to tenant pm-dev1,True,False
34d54dcc_e672_48bb_93f0_72fd05c077a2_conn_config,pm-dev1,bengtm,Write access to all connection configurations bound to tenant pm-dev1,True,False
34d54dcc_e672_48bb_93f0_72fd05c077a2_conn_config,pm-dev1,daniel,Write access to all connection configurations bound to tenant pm-dev1,True,False
34d54dcc_e672_48bb_93f0_72fd05c077a2_conn_config,pm-dev1,jens,Write access to all connection configurations bound to tenant pm-dev1,True,False
34d54dcc_e672_48bb_93f0_72fd05c077a2_conn_config,pm-dev1,martin,Write access to all connection configurations bound to tenant pm-dev1,True,False
34d54dcc_e672_48bb_93f0_72fd05c077a2_conn_config,pm-dev1,thorstenh,Write access to all connection configurations bound to tenant pm-dev1,True,False
HANA_QM,pm-dev1,admin,HANA QM Connection,True,False
HANA_QM,pm-dev1,thorstenh,HANA QM Connection,True,False
Rules_Dashboard,pm-dev1,bengtm,Ability to create rule dashboard,True,False
app.datahub-app-core.connectionCredentialsUnmasked,pm-dev1,admin,"Selected connection credentials (user names, etc) are fully displayed",True,False
app.datahub-app-core.connectionCredentialsUnmasked,pm-dev1,bengtm,"Selected connection credentials (user names, etc) are fully displayed",True,False
app.datahub-app-data.administrator,pm-dev1,abdulm,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,axels,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,bengtm,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,brittat,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,christians,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,christiant,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,daisy,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,daniel,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,dimitriv,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,eduardoh,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,eduardos,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,gaetans,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,jasonh,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,jens,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,ketanp,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,kevinp,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,lynnel,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,martin,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,matthiask,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,michaelp,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,monaw,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,monitor,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,newuser3,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,paule,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,philipph,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,rms-technical-user,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,royz,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,shibajeed,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,silvioa,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,swapans,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,test,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,thorstenh,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,tobiask,Metadata Explorer Administrator,True,False
app.datahub-app-data.administrator,pm-dev1,venkatm,Metadata Explorer Administrator,True,False
app.datahub-app-data.businessUser,pm-dev1,bengtm,Metadata Explorer Business User,True,False
app.datahub-app-data.businessUser,pm-dev1,monaw,Metadata Explorer Business User,True,False
app.datahub-app-data.dataSteward,pm-dev1,bengtm,Metadata Explorer Data Steward,True,False
app.datahub-app-data.dataSteward,pm-dev1,monaw,Metadata Explorer Data Steward,True,False
app.datahub-app-data.metadataUser,pm-dev1,bengtm,Metadata Explorer User,True,False
app.datahub-app-data.metadataUser,pm-dev1,monaw,Metadata Explorer User,True,False
app.datahub-app-data.preparationUser,pm-dev1,bengtm,Data Preparation User,True,False
app.datahub-app-data.publisher,pm-dev1,bengtm,Metadata Explorer Publisher,True,False
app.datahub-app-data.publisher,pm-dev1,monaw,Metadata Explorer Publisher,True,False
connection_S4_Test,pm-dev1,test,Test,True,False
monitor,pm-dev1,monitor,,True,False
sap.dh.admin,pm-dev1,admin,"Administrate tenant. Combines access to user, policy, application management, and to connection management for the tenant.",True,False
sap.dh.admin,pm-dev1,axels,"Administrate tenant. Combines access to user, policy, application management, and to connection management for the tenant.",True,False
sap.dh.admin,pm-dev1,bengtm,"Administrate tenant. Combines access to user, policy, application management, and to connection management for the tenant.",True,False
sap.dh.admin,pm-dev1,daniel,"Administrate tenant. Combines access to user, policy, application management, and to connection management for the tenant.",True,False
sap.dh.admin,pm-dev1,jens,"Administrate tenant. Combines access to user, policy, application management, and to connection management for the tenant.",True,False
sap.dh.admin,pm-dev1,martin,"Administrate tenant. Combines access to user, policy, application management, and to connection management for the tenant.",True,False
sap.dh.admin,pm-dev1,thorstenh,"Administrate tenant. Combines access to user, policy, application management, and to connection management for the tenant.",True,False
sap.dh.certificate.manage,pm-dev1,admin,"Manage server certificates (uploading, deleting)",True,False
sap.dh.certificate.manage,pm-dev1,daniel,"Manage server certificates (uploading, deleting)",True,False
sap.dh.connectionContentAllManage,pm-dev1,bengtm,Access content of all connections in the tenant in Metadata Explorer.,True,False
sap.dh.connectionContentAllManage,pm-dev1,monaw,Access content of all connections in the tenant in Metadata Explorer.,True,False
sap.dh.connectionContentOwnerManage,pm-dev1,bengtm,Access content of the user's own connections in Metadata Explorer.,True,False
sap.dh.connectionContentOwnerManage,pm-dev1,monaw,Access content of the user's own connections in Metadata Explorer.,True,False
sap.dh.connectionCredentialsUnmasked,pm-dev1,bengtm,Selected connection credential fields like user names are fully displayed.,True,False
sap.dh.connectionsAllRead,pm-dev1,bengtm,Read access to all connection definitions in the tenant.,True,False
sap.dh.developer,pm-dev1,abdulm,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,axels,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,bengtm,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,brittat,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,christians,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,christiant,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,daisy,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,daniel,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,dimitriv,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,eduardoh,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,eduardos,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,gaetans,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,jasonh,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,jens,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,ketanp,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,kevinp,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,lynnel,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,martin,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,matthiask,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,michaelp,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,monaw,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,newuser3,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,paule,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,philipph,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,rms-technical-user,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,royz,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,shibajeed,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,silvioa,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,swapans,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,thorstenh,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,tobiask,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.developer,pm-dev1,venkatm,Working with Pipeline Modeler. Allows to start the Modeler and to manage connections.,True,False
sap.dh.member,pm-dev1,abdulm,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,axels,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,bengtm,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,brittat,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,christians,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,christiant,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,daisy,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,daniel,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,dimitriv,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,eduardoh,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,eduardos,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,gaetans,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,jasonh,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,jens,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,ketanp,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,kevinp,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,lynnel,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,martin,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,matthiask,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,michaelp,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,monaw,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,monitor,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,newuser3,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,paule,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,philipph,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,rms-technical-user,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,royz,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,shibajeed,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,silvioa,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,swapans,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,thorstenh,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,tobiask,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.member,pm-dev1,venkatm,Member of tenant. Gives access to connection management to configure their own connections. Needs additional application start policies for running apps.,True,False
sap.dh.metadata,pm-dev1,admin,"DEPRECATED. Use app.datahub-app-data.fullAccess instead. Working with Metadata Explorer. Allows to start the Metadata Explorer and to manage connections. For some role in the Metadata Explorer, permission to start the Pipeline Modeler might also be needed.",True,False
